,seed,seed,MAE,MAE,RMSE,RMSE,NNSE,NNSE,WI,WI,R,R,KGE,KGE
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
A-EO-RVFL,27.3,10.263744172788234,0.0982508024984973,0.0,0.1390060766719601,0.0,0.742470504818761,0.0,0.8872700001964049,0.0,0.8082390717747157,0.0,0.7363114189858981,0.0
AIW-PSO-RVFL,27.3,10.263744172788234,0.09965670002293651,0.0005351937737405035,0.14410007814120251,0.001822185186964594,0.728470858897434,0.005007932468321581,0.8795946572294475,0.002798985602877874,0.7928472833092692,0.0055117872422085126,0.7314806441884169,0.002054591110678198
BBO-RVFL,27.3,10.263744172788234,0.1002830884210546,3.9575073552021604e-08,0.1424884802492518,2.366984513821446e-07,0.7328952484068252,6.503830886245774e-07,0.8801687657881564,3.129421364639338e-07,0.797383139261276,7.350446231115975e-07,0.7256352256347993,3.13244552686863e-07
CL-PSO-RVFL,27.3,10.263744172788234,0.10000148593409441,3.0467943939696065e-12,0.14208665469434015,5.688391579769857e-12,0.7339994601184856,1.5633145000280138e-11,0.8808466013683385,1.0591020113540168e-11,0.7985982091871368,1.7922381455691446e-11,0.724501052082655,1.4901278466580323e-11
EFO-RVFL,27.3,10.263744172788234,0.1025715740849252,0.0,0.1442608670103213,0.0,0.7280274699218932,0.0,0.8760034322682657,0.0,0.7915789188806255,0.0,0.7145948578615843,0.0
HHO-RVFL,27.3,10.263744172788234,0.1018855578127887,0.0,0.1440863729823456,0.0,0.7285064944589925,0.0,0.8782741438056509,0.0,0.7925537294424185,0.0,0.7260661278094818,0.0
IM-ARO-RVFL,27.3,10.263744172788234,0.0984266365526942,0.0,0.1391317938536018,0.0,0.7421246522348204,0.0,0.8869487407091723,0.0,0.8078446638759701,0.0,0.7353339616750729,0.0
INFO-RVFL,27.3,10.263744172788234,0.09966338681511575,0.0008561477943463137,0.14223624895170853,0.00037187339958326046,0.7335884304974727,0.0010219982313243391,0.8813562845141913,0.0014641637732042058,0.7982934413819285,0.001296434337982007,0.7294540904963689,0.0040708060361108874
LCO-RVFL,27.3,10.263744172788234,0.0944761613389614,0.0,0.1538046838029015,0.0,0.7019324771362179,0.0,0.8709255656455174,0.0,0.7708014640810882,0.0,0.7537928660094537,0.0
QLE-SCA-RVFL,27.3,10.263744172788234,0.09960311825560067,0.001790002190333688,0.1459520376143793,0.00888228901154891,0.723501414262425,0.024030241198991234,0.8766391941879264,0.011239837665963747,0.7887251738258675,0.021757337253765198,0.7292292283916402,0.00523117847881692
RIME-RVFL,27.3,10.263744172788234,0.0990777422632273,0.0,0.1418266218798624,0.0,0.7347141344643495,0.0,0.8823635774617908,0.0,0.7995985786026555,0.0,0.7313308663201448,0.0
SADE-RVFL,27.3,10.263744172788234,0.09683752446864466,0.0021130880985865295,0.14574591199678402,0.007199869584776619,0.7240005332623118,0.019721168319960958,0.8795797236571892,0.008105545064245403,0.7907848530678631,0.018184502809712313,0.7431847992383986,0.00968684946302968
SHADE-RVFL,27.3,10.263744172788234,0.09755544280047523,0.001624594991759061,0.1427772846764213,0.0059388806249123785,0.7321312891806487,0.016266666786598265,0.8828550285115598,0.006517314354334424,0.798318935904766,0.014957652658014844,0.7394953142206072,0.007546607298871298
SHIO-RVFL,27.3,10.263744172788234,0.1016404434172374,0.0,0.1436063824476492,0.0,0.729824428336293,0.0,0.8788451704455753,0.0,0.7939204042004331,0.0,0.7237723041082773,0.0
